last_name,first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,FIELD16
Jimenez, Eloy,650391,2022,0.266,0.512,0.37,0.365,0.335,0.246,0.444,0.437,92.8,7.4,14.7,
Torres, Gleyber,650402,2022,0.244,0.441,0.328,0.319,0.298,0.198,0.398,0.385,90.4,17.5,10.7,
Castro, Willi,650489,2022,0.261,0.339,0.285,0.29,0.304,0.079,0.334,0.34,84.8,13.9,3.5,
Diaz, Yandy,650490,2022,0.288,0.424,0.366,0.365,0.395,0.137,0.355,0.353,92.2,7.7,4.8,
De La Cruz, Bryan,650559,2022,0.287,0.498,0.313,0.355,0.327,0.212,0.397,0.458,90.8,9.8,11.9,
Rengifo, Luis,650859,2022,0.254,0.392,0.314,0.296,0.285,0.138,0.355,0.333,86.9,9.9,5.4,
Chapman, Matt,656305,2022,0.234,0.44,0.331,0.341,0.331,0.206,0.407,0.425,92.2,19,12.9,
Chavis, Michael,656308,2022,0.217,0.336,0.282,0.261,0.256,0.119,0.38,0.348,85.4,11.1,7.5,
Hilliard, Sam,656541,2022,0.216,0.361,0.251,0.303,0.312,0.145,0.283,0.37,92,13.4,9.2,
Hoskins, Rhys,656555,2022,0.239,0.445,0.345,0.338,0.327,0.207,0.419,0.408,90.1,18.1,11.1,
Joe, Connor,656582,2022,0.241,0.34,0.314,0.311,0.342,0.1,0.336,0.333,85.3,10.6,4.5,
Luplow, Jordan,656669,2022,0.198,0.351,0.281,0.288,0.293,0.153,0.32,0.331,87.2,17.7,7.5,
Mullins II, Cedric,656775,2022,0.232,0.349,0.315,0.288,0.297,0.117,0.355,0.318,88.8,17.4,4.9,
Rivera, Emmanuel,656896,2022,0.238,0.41,0.306,0.31,0.296,0.173,0.365,0.37,90.4,9.8,9.3,
Schwarber, Kyle,656941,2022,0.237,0.535,0.355,0.375,0.341,0.298,0.465,0.501,93.3,19.2,20.1,
Smith, Pavin,656976,2022,0.216,0.379,0.294,0.304,0.3,0.163,0.342,0.357,87.9,15.2,9.9,
Thomas, Lane,657041,2022,0.222,0.357,0.308,0.286,0.286,0.135,0.371,0.339,86.4,12.5,6.5,
Verdugo, Alex,657077,2022,0.278,0.428,0.319,0.329,0.327,0.151,0.342,0.353,89.1,8.4,6,
DeJong, Paul,657557,2022,0.182,0.327,0.241,0.267,0.267,0.146,0.298,0.345,87.6,21.7,9.8,
Laureano, Ramon,657656,2022,0.219,0.402,0.294,0.307,0.294,0.183,0.359,0.38,88.7,14.9,11.6,
Sheets, Gavin,657757,2022,0.224,0.359,0.308,0.283,0.281,0.135,0.359,0.325,88.6,14.8,6.5,
Moncada, Yoan,660162,2022,0.22,0.375,0.275,0.289,0.282,0.155,0.338,0.36,88.7,15.7,9.8,
Ohtani, Shohei,660271,2022,0.278,0.552,0.37,0.385,0.361,0.274,0.461,0.486,92.9,12.1,16.8,
Castillo, Diego,660636,2022,0.224,0.389,0.272,0.292,0.273,0.164,0.344,0.374,89.1,14.6,9.9,
Acuna Jr., Ronald,660670,2022,0.272,0.486,0.335,0.366,0.358,0.214,0.397,0.444,91.2,10.8,12.8,
Ruiz, Keibert,660688,2022,0.277,0.403,0.299,0.328,0.338,0.126,0.301,0.338,88,14.9,3.7,
Gonzalez, Oscar,660757,2022,0.279,0.422,0.339,0.32,0.313,0.143,0.408,0.383,88.6,5.4,7.3,
Yepez, Juan,660766,2022,0.216,0.394,0.319,0.286,0.263,0.178,0.386,0.34,86.5,17.1,9.2,
Sanchez, Jesus,660821,2022,0.226,0.383,0.298,0.298,0.29,0.158,0.37,0.37,89.5,11,9.9,
Contreras, William,661388,2022,0.243,0.479,0.37,0.347,0.323,0.235,0.483,0.446,90.4,6.1,13.4,
Serven, Brian,661531,2022,0.212,0.291,0.263,0.254,0.271,0.08,0.298,0.286,84.5,12.5,2.7,
Varsho, Daulton,662139,2022,0.214,0.389,0.323,0.298,0.285,0.176,0.392,0.355,87.7,14.9,10.2,
Nootbaar, Lars,663457,2022,0.247,0.414,0.342,0.346,0.36,0.167,0.371,0.377,91.7,10.7,12.1,
Hoerner, Nico,663538,2022,0.27,0.366,0.32,0.301,0.318,0.097,0.336,0.314,87.2,10.7,2.6,
Riley, Austin,663586,2022,0.271,0.531,0.377,0.378,0.349,0.26,0.465,0.468,92.5,12.9,15.7,
Madrigal, Nick,663611,2022,0.256,0.312,0.267,0.283,0.313,0.055,0.267,0.286,85.9,-0.2,0,
Mountcastle, Ryan,663624,2022,0.277,0.509,0.316,0.362,0.332,0.232,0.393,0.463,91.3,15.9,15,
Hayes, Ke'Bryan,663647,2022,0.25,0.354,0.294,0.303,0.321,0.105,0.333,0.347,91,5.2,3.9,
Tucker, Kyle,663656,2022,0.262,0.482,0.348,0.353,0.336,0.22,0.378,0.386,90,19,10.2,
India, Jonathan,663697,2022,0.238,0.353,0.314,0.301,0.318,0.116,0.357,0.339,85.1,14.5,4.8,
Bart, Joey,663698,2022,0.21,0.37,0.294,0.296,0.292,0.16,0.435,0.439,87.3,16.3,10.1,
Raleigh, Cal,663728,2022,0.216,0.461,0.33,0.324,0.29,0.246,0.432,0.422,90.9,22.5,15.4,
Fortes, Nick,663743,2022,0.249,0.398,0.308,0.319,0.322,0.148,0.336,0.353,89.3,15.4,7,
